stock_code,product_description,stock_line_type,total_quantity,total_revenue,order_count,customer_count,average_selling_price,active_months,first_sale_date,last_sale_date,quantity_rank,revenue_rank
11001,ASSTD DESIGN RACING CAR PEN,merchandise,4322,6691.62,178,118,1.55,25,2009-12-02,2011-12-05,611,613
23297,SET 40 HEART SHAPE PETIT FOUR CASES,merchandise,4260,6677.0,140,123,1.57,5,2011-07-12,2011-11-22,626,614
23254,KIDS CUTLERY DOLLY GIRL,merchandise,1657,6674.95,276,204,4.03,9,2011-04-07,2011-12-09,1392,615
22085,PAPER CHAIN KIT SKULLS,merchandise,2489,6672.55,192,141,2.68,25,2009-12-01,2011-12-07,982,616
21361,LOVE LARGE WOOD LETTERS,merchandise,541,6670.95,250,181,12.33,18,2010-02-11,2011-07-22,2431,617
22738,RIBBON REEL SNOWY VILLAGE,merchandise,4148,6656.08,352,274,1.6,11,2010-09-16,2011-12-08,642,618
21592,RETROSPOT CIGAR BOX MATCHES,merchandise,5956,6652.46,466,312,1.12,25,2009-12-01,2011-12-08,430,619
22645,CERAMIC HEART FAIRY CAKE MONEY BANK,merchandise,4858,6640.64,556,341,1.37,20,2010-05-14,2011-12-09,549,620
47599B,BLUE PARTY BAGS,merchandise,3516,6634.04,262,170,1.89,24,2010-01-11,2011-12-02,736,621
22350,ILLUSTRATED CAT BOWL,merchandise,2603,6626.61,251,169,2.55,25,2009-12-01,2011-12-08,951,622
21903,MAN FLU METAL SIGN,merchandise,3360,6612.18,346,230,1.97,25,2009-12-03,2011-12-08,768,623
85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,merchandise,1912,6607.6,86,73,3.46,4,2009-12-01,2010-03-29,1251,624
23283,DOORMAT VINTAGE LEAVES DESIGN,merchandise,967,6600.27,209,146,6.83,8,2011-04-27,2011-12-08,1916,625
16156S,WRAP PINK FAIRY CAKES,merchandise,16686,6569.12,417,271,0.39,25,2009-12-01,2011-12-08,99,626
21033,JUMBO BAG CHARLIE AND LOLA TOYS,merchandise,3440,6549.22,293,163,1.9,22,2009-12-01,2011-09-08,745,627
23008,DOLLY GIRL BABY GIFT SET,merchandise,419,6534.05,120,99,15.59,10,2011-03-09,2011-12-04,2627,628
22358,KINGS CHOICE TEA CADDY,merchandise,2308,6533.48,384,295,2.83,24,2010-01-06,2011-12-04,1049,629
22798,ANTIQUE GLASS DRESSING TABLE POT,merchandise,2274,6529.26,258,173,2.87,15,2010-10-22,2011-12-09,1064,630
22907,PACK OF 20 NAPKINS PANTRY DESIGN,merchandise,8172,6524.22,675,445,0.8,16,2010-09-16,2011-12-09,297,631
23109,PACK OF SIX LED TEA LIGHTS,merchandise,2310,6484.9,228,178,2.81,8,2011-05-11,2011-12-08,1047,632
21500,PINK SPOTS  WRAP,merchandise,16025,6468.5,489,301,0.4,25,2009-12-01,2011-12-05,108,633
23293,SET OF 12 FAIRY CAKE BAKING CASES,merchandise,8228,6457.0,465,323,0.78,6,2011-07-12,2011-12-09,291,634
37450,CERAMIC CAKE BOWL + HANGING CAKES,merchandise,2355,6451.65,313,138,2.74,25,2009-12-01,2011-12-08,1028,635
23103,JINGLE BELL HEART DECORATION,merchandise,3931,6442.95,316,231,1.64,8,2011-05-11,2011-12-09,665,636
21563,RED HEART SHAPE LOVE BUCKET,merchandise,2712,6441.32,302,180,2.38,25,2009-12-06,2011-12-09,918,637
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,merchandise,8111,6431.29,536,246,0.79,18,2010-07-19,2011-12-07,300,638
22833,HALL CABINET WITH 3 DRAWERS,merchandise,191,6417.22,11,9,33.6,4,2010-11-04,2011-02-03,3225,639
23134,LARGE ZINC HEART WALL ORGANISER,merchandise,1064,6414.48,37,29,6.03,6,2011-04-20,2011-09-18,1804,640
37448,CERAMIC CAKE DESIGN SPOTTED MUG,merchandise,4464,6412.32,433,198,1.44,25,2009-12-01,2011-12-08,598,641
21041,RED SPOTTY OVEN GLOVE DOUBLE,merchandise,2266,6410.7,330,191,2.83,20,2009-12-01,2011-11-23,1066,642
22783,SET 3 WICKER OVAL BASKETS W LIDS,merchandise,488,6404.82,44,38,13.12,8,2010-10-26,2011-06-14,2504,643
22141,CHRISTMAS CRAFT TREE TOP ANGEL,merchandise,3132,6400.48,434,313,2.04,10,2009-12-07,2011-12-09,816,644
84568,GIRLS ALPHABET IRON ON PATCHES,merchandise,33217,6399.57,72,49,0.19,20,2009-12-01,2011-11-30,24,645
20717,STRAWBERRY SHOPPER BAG,merchandise,5366,6392.28,500,283,1.19,25,2009-12-04,2011-12-08,494,646
22199,FRYING PAN RED RETROSPOT,merchandise,1689,6388.71,273,158,3.78,25,2009-12-01,2011-12-09,1371,647
22174,PHOTO CUBE,merchandise,4159,6367.91,303,178,1.53,23,2009-12-01,2011-12-07,640,648
22810,SET OF 6 T-LIGHTS SNOWMEN,merchandise,2165,6341.83,280,213,2.93,12,2010-09-20,2011-12-05,1115,649
22059,CERAMIC STRWBERRY DESIGN MUG,merchandise,4909,6341.05,365,183,1.29,25,2009-12-03,2011-12-09,539,650
22669,RED BABY BUNTING,merchandise,2190,6340.5,334,263,2.9,18,2010-07-06,2011-12-08,1101,651
22221,CAKE STAND LOVEBIRD 2 TIER PINK,merchandise,884,6339.0,138,108,7.17,25,2009-12-17,2011-12-08,2016,652
23229,VINTAGE DONKEY TAIL GAME,merchandise,1804,6336.43,219,186,3.51,7,2011-06-14,2011-12-09,1302,653
22528,GARDENERS KNEELING PAD,merchandise,5363,6329.83,449,284,1.18,9,2010-03-26,2010-11-04,496,654
23534,WALL ART STOP FOR TEA,merchandise,1206,6320.88,194,159,5.24,3,2011-10-02,2011-12-08,1691,655
47502,POLKADOT CUTLERY 24 PCS IN TRAY,merchandise,617,6307.15,58,40,10.22,10,2009-12-15,2010-09-03,2329,656
22414,DOORMAT NEIGHBOURHOOD WITCH,merchandise,1125,6299.05,162,92,5.6,24,2010-01-10,2011-12-06,1757,657
22332,SKULLS PARTY BAG + STICKER SET,merchandise,4084,6295.4,334,233,1.54,25,2009-12-03,2011-12-05,649,658
22360,"GLASS JAR, ENGLISH CONFECTIONERY",merchandise,2298,6290.1,303,209,2.74,23,2009-12-13,2011-12-08,1054,659
21876,POTTERING MUG,merchandise,5339,6267.47,403,239,1.17,25,2009-12-01,2011-12-08,498,660
22644,CERAMIC CHERRY CAKE MONEY BANK,merchandise,4765,6265.93,465,304,1.31,20,2010-05-14,2011-12-09,559,661
22577,WOODEN HEART CHRISTMAS SCANDISPOT,merchandise,13131,6262.55,727,517,0.48,18,2010-07-18,2011-12-08,151,662
23553,LANDMARK FRAME CAMDEN TOWN,merchandise,557,6244.85,62,50,11.21,3,2011-10-20,2011-12-08,2412,663
21107,CREAM SLICE FLANNEL PINK SPOT,merchandise,2299,6244.45,228,167,2.72,24,2009-12-02,2011-12-01,1052,664
85175,CACTI T-LIGHT CANDLES,merchandise,15574,6242.36,409,199,0.4,24,2009-12-01,2011-11-28,116,665
22432,WATERING CAN PINK BUNNY,merchandise,3407,6241.55,430,266,1.83,23,2010-02-18,2011-12-08,758,666
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,merchandise,712,6240.0,244,190,8.76,24,2009-12-02,2011-12-09,2218,667
22504,CABIN BAG VINTAGE RETROSPOT,merchandise,277,6216.55,76,55,22.44,17,2010-05-06,2011-12-05,2964,668
22826,LOVE SEAT ANTIQUE WHITE METAL,merchandise,58,6210.0,41,33,107.07,10,2010-12-10,2011-11-23,3801,669
22830,UTILTY CABINET WITH HOOKS,merchandise,306,6186.54,16,14,20.22,4,2010-10-22,2011-01-16,2882,670
21584,RETROSPOT SMALL TUBE MATCHES,merchandise,3833,6175.65,347,253,1.61,25,2009-12-01,2011-12-07,676,671
21499,BLUE SPOTS  WRAP,merchandise,15375,6175.5,458,302,0.4,25,2009-12-01,2011-12-08,120,672
22739,"RIBBON REEL, XMAS SOCK/BAUBLE",merchandise,3735,6174.99,426,329,1.65,13,2010-09-16,2011-12-08,694,673
22080,RIBBON REEL SPOTS DESIGN,merchandise,3801,6173.65,438,336,1.62,20,2009-12-01,2011-12-09,689,674
22945,CHRISTMAS METAL TAGS ASSORTED,merchandise,7537,6168.01,278,244,0.82,13,2010-09-19,2011-12-05,329,675
37500,TEA TIME TEAPOT IN GIFT BOX,merchandise,827,6166.57,216,147,7.46,25,2009-12-01,2011-12-09,2083,676
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,merchandise,1712,6155.04,163,136,3.6,3,2011-10-13,2011-12-09,1359,677
23541,WALL ART CLASSIC PUDDINGS,merchandise,829,6154.69,120,97,7.42,2,2011-10-02,2011-11-30,2077,678
21586,KINGS CHOICE GIANT TUBE MATCHES,merchandise,2641,6145.05,236,172,2.33,23,2009-12-01,2011-11-07,938,679
22526,WHEELBARROW FOR CHILDREN,merchandise,518,6133.62,187,153,11.84,22,2010-03-26,2011-12-01,2469,680
23480,MINI LIGHTS WOODLAND MUSHROOMS,merchandise,1717,6118.59,173,143,3.56,3,2011-10-20,2011-12-09,1354,681
85068,CREAM SWEETHEART SHELF + HOOKS,merchandise,922,6097.56,173,130,6.61,9,2009-12-01,2010-11-10,1976,682
47559B,TEA TIME OVEN GLOVE,merchandise,5065,6096.62,609,303,1.2,25,2009-12-08,2011-12-09,523,683
22224,WHITE LOVEBIRD LANTERN,merchandise,2129,6087.75,304,234,2.86,25,2009-12-02,2011-12-07,1138,684
22431,WATERING CAN BLUE ELEPHANT,merchandise,3211,6067.15,498,269,1.89,23,2010-02-22,2011-12-08,801,685
22582,PACK OF 6 SWEETIE GIFT BOXES,merchandise,2473,6061.06,252,225,2.45,22,2010-03-10,2011-12-08,988,686
22849,"BREAD BIN, DINER STYLE, MINT",merchandise,394,6060.06,151,101,15.38,11,2010-10-14,2011-10-20,2675,687
85047,WHITE BEADED GARLAND STRING 20LIGHT,merchandise,994,6043.1,201,137,6.08,13,2009-12-01,2011-01-27,1883,688
21201,TROPICAL  HONEYCOMB PAPER GARLAND,merchandise,2642,6013.5,183,109,2.28,25,2009-12-04,2011-12-05,937,689
22187,GREEN CHRISTMAS TREE CARD HOLDER,merchandise,2021,6003.77,290,230,2.97,19,2009-12-01,2011-12-07,1192,690
21989,PACK OF 20 SKULL PAPER NAPKINS,merchandise,8089,5986.69,468,264,0.74,25,2009-12-01,2011-12-07,301,691
23307,SET OF 60 PANTRY DESIGN CAKE CASES,merchandise,11661,5974.39,504,366,0.51,7,2011-06-03,2011-12-08,191,692
22045,SPACEBOY GIFT WRAP,merchandise,14517,5971.14,469,290,0.41,25,2009-12-04,2011-12-08,133,693
22430,ENAMEL WATERING CAN CREAM,merchandise,1296,5956.04,303,230,4.6,20,2010-05-14,2011-12-08,1612,694
85178,VICTORIAN SEWING KIT,merchandise,5434,5952.54,254,177,1.1,25,2009-12-01,2011-12-05,483,695
84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,merchandise,2862,5945.5,405,288,2.08,25,2009-12-01,2011-12-09,876,696
22491,PACK OF 12 COLOURED PENCILS,merchandise,7433,5925.71,360,264,0.8,20,2010-05-06,2011-12-09,338,697
85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,merchandise,3726,5920.77,278,172,1.59,25,2009-12-10,2011-12-07,696,698
23535,WALL ART BICYCLE SAFTEY,merchandise,1123,5898.61,162,135,5.25,3,2011-10-02,2011-12-09,1758,699
22435,SET OF 9 HEART SHAPED BALLOONS,merchandise,4801,5889.29,445,303,1.23,21,2010-04-08,2011-12-07,554,700
72802C,VANILLA SCENT CANDLE JEWELLED BOX,merchandise,2178,5886.84,234,143,2.7,24,2009-12-04,2011-11-04,1109,701
22142,CHRISTMAS CRAFT WHITE FAIRY,merchandise,4185,5879.69,429,336,1.4,10,2009-12-01,2011-12-08,637,702
20973,12 PENCIL SMALL TUBE WOODLAND,merchandise,9236,5870.8,514,309,0.64,21,2010-03-17,2011-12-08,258,703
84884A,ANT WHITE WIRE HEART SPIRAL,merchandise,1666,5865.06,269,195,3.52,25,2009-12-01,2011-12-05,1384,704
85174,S/4 CACTI CANDLES,merchandise,1340,5860.32,229,126,4.37,25,2009-12-01,2011-12-08,1573,705
22596,CHRISTMAS STAR WISH LIST CHALKBOARD,merchandise,6080,5853.92,402,309,0.96,12,2010-07-16,2011-12-09,421,706
22130,PARTY CONE CHRISTMAS DECORATION,merchandise,7064,5846.84,358,298,0.83,22,2009-12-01,2011-12-08,355,707
23169,CLASSIC GLASS SWEET JAR,merchandise,1451,5829.65,262,203,4.02,8,2011-05-12,2011-12-06,1505,708
23172,REGENCY TEA PLATE PINK,merchandise,3688,5793.28,224,160,1.57,8,2011-05-10,2011-12-08,708,709
22979,PANTRY WASHING UP BRUSH,merchandise,3913,5785.71,304,225,1.48,10,2011-03-02,2011-12-08,667,710
22781,GUMBALL MAGAZINE RACK,merchandise,787,5778.89,225,160,7.34,15,2010-10-17,2011-12-05,2127,711
22855,FINE WICKER HEART,merchandise,4806,5774.94,345,271,1.2,12,2010-09-15,2011-08-30,553,712
22185,SLATE TILE NATURAL HANGING,merchandise,3763,5764.85,375,298,1.53,25,2009-12-01,2011-12-09,692,713
22841,ROUND CAKE TIN VINTAGE GREEN,merchandise,760,5763.28,286,219,7.58,15,2010-10-13,2011-12-08,2160,714
23247,BISCUIT TIN 50'S CHRISTMAS,merchandise,2048,5760.52,271,231,2.81,7,2011-06-08,2011-12-08,1187,715
21625,VINTAGE UNION JACK APRON,merchandise,856,5755.74,245,186,6.72,25,2009-12-01,2011-12-07,2050,716
22377,BOTTLE BAG RETROSPOT,merchandise,3212,5741.29,288,200,1.79,24,2010-01-26,2011-12-05,800,717
22848,"BREAD BIN, DINER STYLE, PINK",merchandise,375,5731.7,133,75,15.28,13,2010-10-14,2011-10-30,2706,718
21918,SET 12 KIDS COLOUR  CHALK STICKS,merchandise,14238,5728.24,585,369,0.4,25,2009-12-01,2011-12-09,138,719
20751,FUNKY WASHING UP GLOVES ASSORTED,merchandise,2770,5723.52,408,264,2.07,25,2009-12-01,2011-12-04,903,720
23485,BOTANICAL GARDENS WALL CLOCK,merchandise,259,5719.0,80,70,22.08,3,2011-10-20,2011-12-08,3006,721
22498,WOODEN REGATTA BUNTING,merchandise,992,5710.4,294,211,5.76,23,2010-02-03,2011-12-08,1887,722
23113,PANTRY CHOPPING BOARD,merchandise,1138,5695.86,43,39,5.01,4,2011-09-16,2011-12-07,1748,723
23296,SET OF 6 TEA TIME BAKING CASES,merchandise,4877,5684.65,319,243,1.17,6,2011-07-12,2011-12-08,546,724
21730,GLASS STAR FROSTED T-LIGHT HOLDER,merchandise,1200,5636.64,259,155,4.7,22,2009-12-01,2011-12-07,1696,725
23204,CHARLOTTE BAG APPLES DESIGN,merchandise,7039,5632.15,425,199,0.8,9,2011-04-11,2011-12-09,358,726
22119,PEACE WOODEN BLOCK LETTERS,merchandise,910,5604.06,330,244,6.16,25,2009-12-01,2011-12-09,1983,727
22971,QUEENS GUARD COFFEE MUG,merchandise,2365,5603.57,233,164,2.37,13,2010-12-16,2011-12-08,1027,728
22311,OFFICE MUG WARMER BLACK+SILVER,merchandise,1946,5603.5,190,120,2.88,25,2009-12-02,2011-12-06,1231,729
22898,CHILDRENS APRON APPLES DESIGN,merchandise,2990,5599.4,374,261,1.87,16,2010-09-26,2011-12-07,848,730
22331,WOODLAND PARTY BAG + STICKER SET,merchandise,3529,5570.21,345,225,1.58,25,2009-12-02,2011-12-09,730,731
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,merchandise,2173,5567.95,258,142,2.56,25,2009-12-01,2011-12-08,1112,732
22364,GLASS JAR DIGESTIVE BISCUITS,merchandise,1896,5565.4,224,164,2.94,22,2010-03-16,2011-12-08,1259,733
23311,VINTAGE CHRISTMAS STOCKING,merchandise,2199,5564.25,281,246,2.53,6,2011-07-14,2011-12-07,1097,734
22065,CHRISTMAS PUDDING TRINKET POT,merchandise,8333,5564.19,333,249,0.67,16,2009-12-01,2011-12-07,288,735
21988,PACK OF 6 SKULL PAPER PLATES,merchandise,7666,5558.5,350,209,0.73,25,2009-12-06,2011-12-06,323,736
22951,72 CAKE CASES DOLLY GIRL DESIGN,merchandise,10839,5543.81,517,345,0.51,16,2010-09-19,2011-12-08,207,737
23312,VINTAGE CHRISTMAS GIFT SACK,merchandise,1364,5523.0,193,168,4.05,6,2011-07-17,2011-12-07,1556,738
21703,BAG 125g SWIRLY MARBLES,merchandise,14499,5504.29,452,293,0.38,25,2009-12-02,2011-12-08,134,739
22899,CHILDRENS APRON DOLLY GIRL,merchandise,2723,5480.48,354,249,2.01,16,2010-09-26,2011-12-09,911,740
21110,LARGE CAKE TOWEL PINK SPOTS,merchandise,1259,5480.45,229,173,4.35,23,2009-12-03,2011-11-25,1645,741
21240,BLUE POLKADOT CUP,merchandise,6823,5479.23,568,287,0.8,25,2009-12-01,2011-12-06,368,742
22578,WOODEN STAR CHRISTMAS SCANDISPOT,merchandise,12350,5477.78,664,484,0.44,12,2010-07-18,2011-12-07,174,743
22964,3 PIECE SPACEBOY COOKIE CUTTER SET,merchandise,2721,5469.34,321,228,2.01,14,2010-11-21,2011-12-08,913,744
22168,"ORGANISER WOOD, ANTIQUE WHITE",merchandise,657,5451.3,304,250,8.3,17,2009-12-08,2011-04-12,2280,745
16161P,WRAP ENGLISH ROSE,merchandise,13223,5445.9,440,289,0.41,24,2009-12-01,2011-12-07,149,746
21587,COSY HOUR GIANT TUBE MATCHES,merchandise,2183,5437.05,255,207,2.49,14,2009-12-01,2011-10-18,1108,747
72756,FAIRY CAKE CANDLES,merchandise,3994,5432.66,127,114,1.36,3,2009-12-01,2010-06-15,657,748
22148,EASTER CRAFT 4 CHICKS,merchandise,2994,5430.3,243,209,1.81,20,2009-12-02,2011-12-04,846,749
22575,METAL MERRY CHRISTMAS WREATH,merchandise,2857,5419.35,299,207,1.9,12,2010-07-18,2011-12-05,877,750
37495,FAIRY CAKE BIRTHDAY CANDLE SET,merchandise,1520,5412.0,288,206,3.56,25,2009-12-04,2011-12-08,1469,751
23118,PARISIENNE JEWELLERY DRAWER,merchandise,765,5399.02,225,154,7.06,8,2011-05-10,2011-12-09,2155,752
22746,POPPY'S PLAYHOUSE LIVINGROOM,merchandise,2638,5394.92,460,319,2.05,16,2010-09-24,2011-12-08,940,753
23135,SMALL ZINC HEART WALL ORGANISER,merchandise,1538,5378.8,42,31,3.5,9,2011-04-19,2011-12-08,1458,754
22845,VINTAGE CREAM CAT FOOD CONTAINER,merchandise,893,5372.08,295,192,6.02,15,2010-10-15,2011-12-08,2007,755
22441,GROW YOUR OWN BASIL IN ENAMEL MUG,merchandise,2584,5360.4,390,295,2.07,22,2010-03-23,2011-12-08,959,756
21207,SKULL AND CROSSBONES  GARLAND,merchandise,3494,5360.3,212,167,1.53,25,2009-12-03,2011-12-02,740,757
21768,WALL MOUNTED VINTAGE ORGANISER,merchandise,447,5339.79,123,95,11.95,9,2009-12-01,2010-11-12,2571,758
23531,WALL ART BIG LOVE,merchandise,960,5319.36,97,77,5.54,3,2011-10-03,2011-12-08,1926,759
22070,SMALL RETRO SPOT MUG IN BOX  RED,merchandise,1756,5316.01,275,217,3.03,25,2009-12-01,2011-12-08,1326,760
22060,LARGE CAKE STAND HANGING HEARTS,merchandise,716,5305.12,143,112,7.41,18,2009-12-05,2011-05-23,2213,761
21432,SET OF 3 CASES WOODLAND DESIGN,merchandise,927,5298.65,227,152,5.72,12,2009-12-01,2010-11-11,1968,762
79067,CORONA MEXICAN TRAY,merchandise,1491,5282.45,275,160,3.54,13,2009-12-01,2010-12-20,1486,763
21239,PINK  SPOTTY CUP,merchandise,6536,5281.82,551,266,0.81,25,2009-12-01,2011-12-06,385,764
21667,GLASS CAKE COVER AND PLATE,merchandise,329,5272.55,141,119,16.03,13,2009-12-03,2011-01-12,2811,765
22341,LOVE GARLAND PAINTED ZINC,merchandise,3344,5272.4,139,128,1.58,25,2009-12-02,2011-12-05,773,766
23126,FELTCRAFT GIRL AMELIE KIT,merchandise,1084,5272.28,271,198,4.86,10,2011-03-02,2011-12-09,1791,767
21452,TOADSTOOL MONEY BOX,merchandise,1825,5266.15,328,228,2.89,22,2010-03-18,2011-12-07,1289,768
23583,LUNCH BAG PAISLEY PARK,merchandise,3305,5251.25,298,233,1.59,3,2011-10-25,2011-12-08,782,769
22842,"BISCUIT TIN, RED,IVORY, VINTAGE",merchandise,823,5236.85,219,183,6.36,14,2010-10-13,2011-11-29,2087,770
22437,SET OF 9 BLACK SKULL BALLOONS,merchandise,6376,5235.0,358,258,0.82,21,2010-04-07,2011-12-07,392,771
22854,CREAM SWEETHEART EGG HOLDER,merchandise,1104,5232.4,216,169,4.74,13,2010-09-16,2011-09-22,1773,772
22460,EMBOSSED GLASS TEALIGHT HOLDER,merchandise,4301,5214.84,289,206,1.21,22,2010-03-08,2011-12-09,615,773
22670,FRENCH WC SIGN BLUE METAL,merchandise,4337,5203.86,315,218,1.2,17,2010-08-17,2011-12-09,610,774
23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,merchandise,3269,5197.17,312,224,1.59,8,2011-05-11,2011-12-08,788,775
22564,ALPHABET STENCIL CRAFT,merchandise,4573,5195.76,312,208,1.14,22,2010-03-24,2011-12-08,583,776
21934,SKULL SHOULDER BAG,merchandise,3279,5190.35,345,164,1.58,25,2009-12-01,2011-12-06,786,777
22763,KEY CABINET MA CAMPAGNE,merchandise,655,5189.09,119,95,7.92,15,2010-10-10,2011-12-08,2284,778
22660,DOORMAT I LOVE LONDON,merchandise,837,5184.37,148,96,6.19,19,2010-06-28,2011-12-07,2066,779
84832,ZINC WILLIE WINKIE  CANDLE STICK,merchandise,6232,5183.32,442,281,0.83,25,2009-12-01,2011-12-09,402,780
21900,"KEY FOB , SHED",merchandise,8162,5178.14,654,361,0.63,25,2009-12-01,2011-12-08,298,781
22282,12 EGG HOUSE PAINTED WOOD,merchandise,475,5176.67,143,92,10.9,25,2009-12-01,2011-12-08,2521,782
21491,SET OF THREE VINTAGE GIFT WRAPS,merchandise,2827,5167.05,222,184,1.83,8,2009-12-01,2010-11-21,886,783
20983,12 PENCILS TALL TUBE RED SPOTTY,merchandise,6092,5147.0,546,359,0.84,25,2009-12-01,2011-12-08,419,784
84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,merchandise,6655,5145.19,528,327,0.77,16,2009-12-01,2011-03-03,377,785
23133,LARGE IVORY HEART WALL ORGANISER,merchandise,759,5142.91,134,94,6.78,9,2011-04-20,2011-12-08,2164,786
85038,6 CHOCOLATE LOVE HEART T-LIGHTS,merchandise,2613,5139.34,282,191,1.97,25,2009-12-01,2011-12-09,950,787
84971S,SMALL HEART FLOWERS HOOK,merchandise,6293,5127.21,325,180,0.81,25,2009-12-02,2011-12-09,398,788
21495,SKULLS WRAP,merchandise,12465,5119.3,375,201,0.41,25,2009-12-01,2011-12-08,171,789
23158,SET OF 5 LUCKY CAT MAGNETS,merchandise,2536,5117.32,187,96,2.02,10,2011-03-25,2011-12-08,973,790
22483,RED GINGHAM TEDDY BEAR,merchandise,1824,5116.08,302,223,2.8,22,2010-03-04,2011-12-07,1290,791
21078,SET/20 STRAWBERRY PAPER NAPKINS,merchandise,6551,5107.97,537,342,0.78,23,2009-12-02,2011-10-11,384,792
23188,VINTAGE  2 METRE FOLDING RULER,merchandise,3096,5100.16,282,207,1.65,7,2011-06-14,2011-12-08,825,793
79029,GLASS HONEYPOT WASP CATCHER,merchandise,2849,5073.15,292,201,1.78,9,2009-12-01,2010-08-09,879,794
22737,RIBBON REEL CHRISTMAS PRESENT,merchandise,3087,5072.39,381,300,1.64,13,2010-09-16,2011-12-08,827,795
40016,CHINESE DRAGON PAPER LANTERNS,merchandise,15547,5064.44,196,133,0.33,22,2009-12-01,2011-09-21,117,796
22117,METAL SIGN HER DINNER IS SERVED,merchandise,1727,5060.45,196,142,2.93,25,2009-12-01,2011-12-06,1349,797
35004B,SET OF 3 BLACK FLYING DUCKS,merchandise,1254,5060.3,120,64,4.04,25,2009-12-01,2011-12-09,1648,798
22534,MAGIC SLATE SPACEBOY,merchandise,12519,5050.62,467,353,0.4,22,2010-03-28,2011-12-08,166,799
22443,GROW YOUR OWN HERBS SET OF 3,merchandise,659,5032.89,238,193,7.64,18,2010-03-23,2011-08-05,2279,800
23157,SET OF 6 NATIVITY MAGNETS,merchandise,2530,5031.55,145,111,1.99,7,2011-03-31,2011-11-29,974,801
23177,TREASURE ISLAND BOOK BOX,merchandise,2428,5029.8,214,174,2.07,10,2011-03-02,2011-12-05,1005,802
46000S,POLYESTER FILLER PAD 40x40cm,merchandise,3466,5025.7,369,240,1.45,25,2009-12-01,2011-12-08,744,803
22602,RETROSPOT WOODEN HEART DECORATION,merchandise,6166,5021.14,405,305,0.81,17,2010-07-16,2011-12-07,409,804
21872,GLAMOROUS  MUG,merchandise,5054,5020.5,285,169,0.99,25,2009-12-02,2011-12-09,525,805
22165,"DIAMANTE HEART SHAPED WALL MIRROR,",merchandise,783,5020.41,127,82,6.41,23,2009-12-01,2011-12-09,2131,806
22030,SWALLOWS GREETING CARD,merchandise,12472,5003.49,601,353,0.4,24,2009-12-01,2011-12-08,170,807
21112,"SWISS ROLL TOWEL, PINK  SPOTS",merchandise,2085,4996.23,128,104,2.4,22,2009-12-01,2011-11-24,1164,808
35832,WOOLLY HAT SOCK GLOVE ADVENT STRING,merchandise,1687,4995.85,162,132,2.96,8,2009-12-03,2010-11-02,1373,809
23132,SMALL IVORY HEART WALL ORGANISER,merchandise,1008,4989.08,141,115,4.95,9,2011-04-19,2011-12-08,1863,810
22687,DOORMAT CHRISTMAS VILLAGE,merchandise,837,4966.93,113,97,5.93,12,2010-06-28,2011-12-05,2067,811
21528,DAIRY MAID TRADITIONAL TEAPOT,merchandise,835,4965.45,215,145,5.95,24,2009-12-01,2011-11-29,2069,812
21069,VINTAGE BILLBOARD TEA MUG,merchandise,4943,4961.9,178,110,1.0,21,2009-12-01,2011-08-17,534,813
22196,SMALL HEART MEASURING SPOONS,merchandise,5886,4946.55,565,304,0.84,25,2009-12-01,2011-12-08,439,814
22335,HEART DECORATION PAINTED ZINC,merchandise,8080,4925.0,336,242,0.61,25,2009-12-01,2011-12-06,303,815
23154,SET OF 4 JAM JAR MAGNETS,merchandise,2441,4922.01,214,141,2.02,10,2011-03-25,2011-12-07,1001,816
22894,TABLECLOTH RED APPLES DESIGN,merchandise,548,4921.45,173,125,8.98,16,2010-09-24,2011-12-09,2424,817
22956,36 FOIL HEART CAKE CASES,merchandise,2548,4918.37,225,189,1.93,14,2010-11-04,2011-12-09,970,818
21832,CHOCOLATE CALCULATOR,merchandise,3045,4915.73,281,204,1.61,25,2009-12-01,2011-12-08,840,819
22186,RED STAR CARD HOLDER,merchandise,1929,4914.59,284,234,2.55,19,2009-12-01,2011-12-06,1241,820
23556,LANDMARK FRAME COVENT GARDEN,merchandise,435,4912.05,52,46,11.29,3,2011-10-19,2011-12-08,2592,821
22175,PINK OWL SOFT TOY,merchandise,1765,4911.73,296,161,2.78,25,2009-12-02,2011-12-09,1325,822
23310,BUBBLEGUM RING ASSORTED,merchandise,11891,4894.83,213,146,0.41,7,2011-06-09,2011-12-08,187,823
22378,WALL TIDY RETROSPOT,merchandise,3062,4884.26,288,167,1.6,24,2010-01-25,2011-12-05,834,824
22156,HEART DECORATION WITH PEARLS,merchandise,5792,4880.17,414,259,0.84,25,2009-12-01,2011-12-06,451,825
22433,WATERING CAN PINK BUNNY,merchandise,2698,4876.82,352,211,1.81,23,2010-02-18,2011-12-08,920,826
22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,merchandise,1746,4872.3,196,179,2.79,6,2011-01-14,2011-09-29,1335,827
